YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE","PRODUCTION in $","PRICE RECEIVED in $ / TON","PRODUCTION in $ / TON"
1945,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,640," ","5,100",8," "," "," "
1945,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,970," ","7,700",7.9," "," "," "
1945,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"3,390"," ","26,800",7.9," "," "," "
1945,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,SUGARBEETS,70," ",610,8.7," "," "," "
1945,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,SUGARBEETS,90," ",780,8.7," "," "," "
1945,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"7,670"," ","61,970",8.1," "," "," "
1945,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,460," ","2,800",6.1," "," "," "
1945,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,460," ","2,800",6.1," "," "," "
1945,"MICHIGAN, NORTHEAST, IOSCO",26,30,069,YEAR,SUGARBEETS,30," ",200,6.7," "," "," "
1945,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,SUGARBEETS,30," ",200,6.7," "," "," "
1945,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"12,520"," ","108,100",8.6," "," "," "
1945,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"6,350"," ","35,900",5.7," "," "," "
1945,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"9,170"," ","78,200",8.5," "," "," "
1945,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"7,200"," ","68,100",9.5," "," "," "
1945,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"7,990"," ","77,200",9.7," "," "," "
1945,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,150"," ","8,300",7.2," "," "," "
1945,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"44,380"," ","375,800",8.5," "," "," "
1945,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,SUGARBEETS,200," ","1,200",6," "," "," "
1945,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,420," ","3,400",8.1," "," "," "
1945,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,620"," ","21,000",8," "," "," "
1945,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,250," ","1,700",6.8," "," "," "
1945,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"4,620"," ","31,800",6.9," "," "," "
1945,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"8,140"," ","66,900",8.2," "," "," "
1945,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,190," ","1,200",6.3," "," "," "
1945,"MICHIGAN, CENTRAL, CLARE",26,50,035,YEAR,SUGARBEETS,310," ","1,900",6.1," "," "," "
1945,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"16,750"," ","129,100",7.7," "," "," "
1945,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"78,000","92,000","627,000",8," "," "," "
1945,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"713,000","775,000","8,616,000",12.1," "," "," "
1945,"MICHIGAN, WEST CENTRAL, NEWAYGO",26,40,123,YEAR,SUGARBEETS,10," ",70,7," "," "," "
1946,"MICHIGAN, WEST CENTRAL, MUSKEGON",26,40,121,YEAR,SUGARBEETS,60," ",470,7.8," "," "," "
1946,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,SUGARBEETS,60," ",470,7.8," "," "," "
1946,"MICHIGAN, SOUTHWEST, VAN BUREN",26,70,159,YEAR,SUGARBEETS,80," ",800,10," "," "," "
1946,"MICHIGAN, SOUTHWEST, OTTAWA",26,70,139,YEAR,SUGARBEETS,110," ",820,7.5," "," "," "
1946,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,SUGARBEETS,20," ",180,9," "," "," "
1946,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,550," ","5,360",9.7," "," "," "
1946,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,760," ","7,160",9.4," "," "," "
1946,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,50," ",380,7.6," "," "," "
1946,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,170," ","1,800",10.6," "," "," "
1946,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"3,490"," ","24,600",7," "," "," "
1946,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"2,820"," ","26,900",9.5," "," "," "
1946,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,790," ","5,800",7.3," "," "," "
1946,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,140," ",900,6.4," "," "," "
1946,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"2,160"," ","21,300",9.9," "," "," "
1946,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,"1,160"," ","9,320",8," "," "," "
1946,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,"1,070"," ","7,700",7.2," "," "," "
1946,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"11,850"," ","98,700",8.3," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,"2,120"," ","17,680",8.3," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,180," ","1,810",10.1," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,320," ","2,350",7.3," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,720," ","6,000",8.3," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, HILLSDALE",26,80,059,YEAR,SUGARBEETS,10," ",80,8," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,910," ","6,680",7.3," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"3,910"," ","31,850",8.1," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,110," ","1,080",9.8," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,SUGARBEETS,30," ",270,9," "," "," "
1946,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"8,310"," ","67,800",8.2," "," "," "
1946,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,470," ","2,410",5.1," "," "," "
1946,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,470," ","2,410",5.1," "," "," "
1946,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,SUGARBEETS,20," ",160,8," "," "," "
1946,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,SUGARBEETS,20," ",160,8," "," "," "
1946,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"802,100","905,000","10,582,000",13.2," "," "," "
1946,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"10,310"," ","72,500",7," "," "," "
1946,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"12,640"," ","120,700",9.5," "," "," "
1946,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"9,360"," ","86,500",9.2," "," "," "
1946,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"9,540"," ","87,200",9.1," "," "," "
1946,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,"1,270"," ","9,600",7.6," "," "," "
1946,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"58,790"," ","519,800",8.8," "," "," "
1946,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,SUGARBEETS,100," ",700,7," "," "," "
1946,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,300," ","2,200",7.3," "," "," "
1946,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"2,790"," ","24,100",8.6," "," "," "
1946,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,350," ","2,500",7.1," "," "," "
1946,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"3,850"," ","28,200",7.3," "," "," "
1946,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"6,890"," ","58,900",8.5," "," "," "
1946,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,270," ","2,600",9.6," "," "," "
1946,"MICHIGAN, CENTRAL, CLARE",26,50,035,YEAR,SUGARBEETS,190," ","1,300",6.8," "," "," "
1946,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"14,740"," ","120,500",8.2," "," "," "
1946,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"95,000","106,000","814,000",8.6," "," "," "
1946,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"15,670"," ","143,300",9.1," "," "," "
1947,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"879,000","968,000","12,503,000",14.2," "," "," "
1947,"MICHIGAN, WEST CENTRAL",26,40,"   ",YEAR,SUGARBEETS,60," ",420,7," "," "," "
1947,"MICHIGAN, SOUTHWEST, VAN BUREN",26,70,159,YEAR,SUGARBEETS,130," ","1,170",9," "," "," "
1947,"MICHIGAN, SOUTHWEST, OTTAWA",26,70,139,YEAR,SUGARBEETS,70," ",800,11.4," "," "," "
1947,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,SUGARBEETS,20," ",170,8.5," "," "," "
1947,"MICHIGAN, SOUTHWEST, KALAMAZOO",26,70,077,YEAR,SUGARBEETS,10," ",80,8," "," "," "
1947,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,860," ","9,000",10.5," "," "," "
1947,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,"1,090"," ","11,220",10.3," "," "," "
1947,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,30," ",180,6," "," "," "
1947,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,150," ","1,050",7," "," "," "
1947,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"1,720"," ","8,470",4.9," "," "," "
1947,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"1,850"," ","16,250",8.8," "," "," "
1947,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,520," ","2,290",4.4," "," "," "
1947,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,70," ",500,7.1," "," "," "
1947,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,450"," ","12,370",8.5," "," "," "
1947,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,960," ","5,110",5.3," "," "," "
1947,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,570," ","3,080",5.4," "," "," "
1947,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"7,320"," ","49,300",6.7," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,770," ","4,570",5.9," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,280," ","1,660",5.9," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,320," ","2,020",6.3," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,650," ","3,890",6," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,930," ","5,880",6.3," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"2,220"," ","13,650",6.1," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,180," ","1,770",9.8," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,SUGARBEETS,90," ",760,8.4," "," "," "
1947,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"5,440"," ","34,200",6.3," "," "," "
1947,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,510," ","1,960",3.8," "," "," "
1947,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,20,029,YEAR,SUGARBEETS,360," ","2,340",6.5," "," "," "
1947,"MICHIGAN, NORTHWEST, ANTRIM",26,20,009,YEAR,SUGARBEETS,360," ","2,350",6.5," "," "," "
1947,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,"1,230"," ","6,650",5.4," "," "," "
1947,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,SUGARBEETS,40," ",170,4.3," "," "," "
1947,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,SUGARBEETS,40," ",170,4.3," "," "," "
1947,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"12,620"," ","103,100",8.2," "," "," "
1947,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"3,860"," ","17,500",4.5," "," "," "
1947,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"8,240"," ","62,300",7.6," "," "," "
1947,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"8,360"," ","57,600",6.9," "," "," "
1947,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"7,740"," ","58,400",7.5," "," "," "
1947,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,820," ","5,200",6.3," "," "," "
1947,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"41,640"," ","304,100",7.3," "," "," "
1947,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,SUGARBEETS,80," ",360,4.5," "," "," "
1947,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,520," ","3,490",6.7," "," "," "
1947,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,940"," ","13,460",6.9," "," "," "
1947,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,320," ","1,800",5.6," "," "," "
1947,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"2,040"," ","12,200",6," "," "," "
1947,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"4,890"," ","29,700",6.1," "," "," "
1947,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,320," ","1,610",5," "," "," "
1947,"MICHIGAN, CENTRAL, CLARE",26,50,035,YEAR,SUGARBEETS,70," ",320,4.6," "," "," "
1947,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"10,180"," ","62,940",6.2," "," "," "
1947,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"66,000","84,000","446,000",6.8," "," "," "
1947,"MICHIGAN, WEST CENTRAL, OTHER (COMBINED) COUNTIES",26,40,"   ",YEAR,SUGARBEETS,60," ",420,7," "," "," "
1948,"MICHIGAN, NORTHWEST, ANTRIM",26,20,009,YEAR,SUGARBEETS,75," ",630,8.4," "," "," "
1948,"MICHIGAN, SOUTHWEST, VAN BUREN",26,70,159,YEAR,SUGARBEETS,55," ",780,14.2," "," "," "
1948,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,280," ","3,480",12.4," "," "," "
1948,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,120," ","1,520",12.7," "," "," "
1948,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"2,500"," ","17,330",6.9," "," "," "
1948,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"1,300"," ","16,060",12.4," "," "," "
1948,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,425," ","3,030",7.1," "," "," "
1948,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,75," ",650,8.7," "," "," "
1948,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"1,090"," ","15,330",14.1," "," "," "
1948,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,710," ","6,060",8.5," "," "," "
1948,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,480," ","3,140",6.5," "," "," "
1948,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"6,700"," ","63,120",9.4," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,920," ","6,190",6.7," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,320," ","2,090",6.5," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,220," ","1,860",8.5," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,660," ","4,640",7," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,700," ","5,490",7.8," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"2,170"," ","17,440",8," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,80," ","1,260",15.8," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,SUGARBEETS,25," ",230,9.2," "," "," "
1948,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"5,095"," ","39,200",7.7," "," "," "
1948,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,240," ","1,780",7.4," "," "," "
1948,"MICHIGAN, NORTHWEST, CHARLEVOIX",26,20,029,YEAR,SUGARBEETS,135," ","1,250",9.3," "," "," "
1948,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,215," ","2,660",12.4," "," "," "
1948,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,450," ","3,660",8.1," "," "," "
1948,"MICHIGAN, NORTHEAST, OTHER (COMBINED) COUNTIES",26,30,"   ",YEAR,SUGARBEETS,25," ",160,6.4," "," "," "
1948,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,SUGARBEETS,25," ",160,6.4," "," "," "
1948,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"9,170"," ","83,830",9.1," "," "," "
1948,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"6,480"," ","52,070",8," "," "," "
1948,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"6,560"," ","62,600",9.5," "," "," "
1948,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"4,980"," ","47,020",9.4," "," "," "
1948,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"5,690"," ","50,870",8.9," "," "," "
1948,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,660," ","5,040",7.6," "," "," "
1948,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"33,540"," ","301,430",9," "," "," "
1948,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,SUGARBEETS,10," ",30,3," "," "," "
1948,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,200," ","1,370",6.9," "," "," "
1948,"MICHIGAN, CENTRAL, MIDLAND",26,50,111,YEAR,SUGARBEETS,"1,370"," ","12,520",9.1," "," "," "
1948,"MICHIGAN, CENTRAL, MECOSTA",26,50,107,YEAR,SUGARBEETS,200," ","1,190",6," "," "," "
1948,"MICHIGAN, CENTRAL, ISABELLA",26,50,073,YEAR,SUGARBEETS,"1,200"," ","8,440",7," "," "," "
1948,"MICHIGAN, CENTRAL, GRATIOT",26,50,057,YEAR,SUGARBEETS,"2,750"," ","21,820",7.9," "," "," "
1948,"MICHIGAN, CENTRAL, GLADWIN",26,50,051,YEAR,SUGARBEETS,140," ","1,290",9.2," "," "," "
1948,"MICHIGAN, CENTRAL, CLARE",26,50,035,YEAR,SUGARBEETS,40," ",290,7.3," "," "," "
1948,"MICHIGAN, CENTRAL",26,50,"   ",YEAR,SUGARBEETS,"5,910"," ","46,950",7.9," "," "," "
1948,MICHIGAN,26,"  ","   ",YEAR,SUGARBEETS,"52,000","63,000","457,000",8.8," "," "," "
1948,"US TOTAL","  ","  ","   ",YEAR,SUGARBEETS,"694,500","800,600","9,432,000",13.6," "," "," "
1948,"MICHIGAN, SOUTHWEST, KENT",26,70,081,YEAR,SUGARBEETS,10," ",40,4," "," "," "
1949,"MICHIGAN, SOUTHWEST, VAN BUREN",26,70,159,YEAR,SUGARBEETS,40," ",590,14.8," "," "," "
1949,"MICHIGAN, SOUTHWEST, ALLEGAN",26,70,005,YEAR,SUGARBEETS,200," ","2,680",13.4," "," "," "
1949,"MICHIGAN, SOUTHWEST",26,70,"   ",YEAR,SUGARBEETS,240," ","3,270",13.6," "," "," "
1949,"MICHIGAN, SOUTHEAST, WAYNE",26,90,163,YEAR,SUGARBEETS,40," ",330,8.3," "," "," "
1949,"MICHIGAN, SOUTHEAST, WASHTENAW",26,90,161,YEAR,SUGARBEETS,145," ","1,700",11.7," "," "," "
1949,"MICHIGAN, SOUTHEAST, ST CLAIR",26,90,147,YEAR,SUGARBEETS,"3,100"," ","29,510",9.5," "," "," "
1949,"MICHIGAN, SOUTHEAST, MONROE",26,90,115,YEAR,SUGARBEETS,"2,350"," ","27,030",11.5," "," "," "
1949,"MICHIGAN, SOUTHEAST, MACOMB",26,90,099,YEAR,SUGARBEETS,590," ","5,970",10.1," "," "," "
1949,"MICHIGAN, SOUTHEAST, LIVINGSTON",26,90,093,YEAR,SUGARBEETS,70," ",690,9.9," "," "," "
1949,"MICHIGAN, SOUTHEAST, LENAWEE",26,90,091,YEAR,SUGARBEETS,"3,050"," ","36,300",11.9," "," "," "
1949,"MICHIGAN, SOUTHEAST, LAPEER",26,90,087,YEAR,SUGARBEETS,755," ","6,960",9.2," "," "," "
1949,"MICHIGAN, SOUTHEAST, GENESEE",26,90,049,YEAR,SUGARBEETS,700," ","5,760",8.2," "," "," "
1949,"MICHIGAN, SOUTHEAST",26,90,"   ",YEAR,SUGARBEETS,"10,800"," ","114,250",10.6," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, SHIAWASSEE",26,80,155,YEAR,SUGARBEETS,"1,430"," ","11,200",7.8," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, JACKSON",26,80,075,YEAR,SUGARBEETS,180," ","1,450",8.1," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, IONIA",26,80,067,YEAR,SUGARBEETS,230," ","2,230",9.7," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, INGHAM",26,80,065,YEAR,SUGARBEETS,840," ","7,250",8.6," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, EATON",26,80,045,YEAR,SUGARBEETS,"1,560"," ","14,860",9.5," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, CLINTON",26,80,037,YEAR,SUGARBEETS,"3,640"," ","31,400",8.6," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, CALHOUN",26,80,025,YEAR,SUGARBEETS,150," ","2,440",16.3," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL, BARRY",26,80,015,YEAR,SUGARBEETS,40," ",500,12.5," "," "," "
1949,"MICHIGAN, SOUTH CENTRAL",26,80,"   ",YEAR,SUGARBEETS,"8,070"," ","71,330",8.8," "," "," "
1949,"MICHIGAN, NORTHWEST, MISSAUKEE",26,20,113,YEAR,SUGARBEETS,170," ","1,340",7.9," "," "," "
1949,"MICHIGAN, NORTHWEST",26,20,"   ",YEAR,SUGARBEETS,170," ","1,340",7.9," "," "," "
1949,"MICHIGAN, NORTHEAST, IOSCO",26,30,069,YEAR,SUGARBEETS,60," ",430,7.2," "," "," "
1949,"MICHIGAN, NORTHEAST",26,30,"   ",YEAR,SUGARBEETS,60," ",430,7.2," "," "," "
1949,"MICHIGAN, EAST CENTRAL, TUSCOLA",26,60,157,YEAR,SUGARBEETS,"12,800"," ","130,740",10.2," "," "," "
1949,"MICHIGAN, EAST CENTRAL, SANILAC",26,60,151,YEAR,SUGARBEETS,"9,300"," ","75,620",8.1," "," "," "
1949,"MICHIGAN, EAST CENTRAL, SAGINAW",26,60,145,YEAR,SUGARBEETS,"9,800"," ","88,440",9," "," "," "
1949,"MICHIGAN, EAST CENTRAL, HURON",26,60,063,YEAR,SUGARBEETS,"8,720"," ","90,800",10.4," "," "," "
1949,"MICHIGAN, EAST CENTRAL, BAY",26,60,017,YEAR,SUGARBEETS,"7,580"," ","73,660",9.7," "," "," "
1949,"MICHIGAN, EAST CENTRAL, ARENAC",26,60,011,YEAR,SUGARBEETS,940," ","8,110",8.6," "," "," "
1949,"MICHIGAN, EAST CENTRAL",26,60,"   ",YEAR,SUGARBEETS,"49,140"," ","467,370",9.5," "," "," "
1949,"MICHIGAN, CENTRAL, OSCEOLA",26,50,133,YEAR,SUGARBEETS,20," ",160,8," "," "," "
1949,"MICHIGAN, CENTRAL, MONTCALM",26,50,117,YEAR,SUGARBEETS,280," ","2,330",8.3," "," "," "
